File name prefix       : /home/pi/ad2_daq/data/20200705/sub0000
Sampling Frequency (Hz): 1e+07
Trigger Level (V)      : -1
Trigger Type           : Falling Negative
Trigger Position (s)   : 0.0003
Number of Events       : 10000
Rate(Hz) 2930 1593955376 inf
Rate(Hz) 2940 1593955376 inf
Rate(Hz) 2950 1593955377 10
Rate(Hz) 2960 1593955377 inf
Rate(Hz) 2970 1593955377 inf
Rate(Hz) 2980 1593955377 inf
Rate(Hz) 2990 1593955377 inf
Rate(Hz) 3000 1593955377 inf
Rate(Hz) 3010 1593955377 inf
Rate(Hz) 3020 1593955377 inf
Rate(Hz) 3030 1593955377 inf
Rate(Hz) 3040 1593955377 inf
Rate(Hz) 3050 1593955377 inf
Rate(Hz) 3060 1593955377 inf
Rate(Hz) 3070 1593955377 inf
Rate(Hz) 3080 1593955377 inf
Rate(Hz) 3090 1593955377 inf
Rate(Hz) 3100 1593955378 10
Rate(Hz) 3110 1593955378 inf
Rate(Hz) 3120 1593955378 inf
Rate(Hz) 3130 1593955378 inf
Rate(Hz) 3140 1593955378 inf
Rate(Hz) 3150 1593955378 inf
Rate(Hz) 3160 1593955378 inf
Rate(Hz) 3170 1593955378 inf
Rate(Hz) 3180 1593955378 inf
Rate(Hz) 3190 1593955378 inf
Rate(Hz) 3200 1593955378 inf
Rate(Hz) 3210 1593955378 inf
Rate(Hz) 3220 1593955378 inf
Rate(Hz) 3230 1593955378 inf
Rate(Hz) 3240 1593955378 inf
Rate(Hz) 3250 1593955379 10
Rate(Hz) 3260 1593955379 inf
Rate(Hz) 3270 1593955379 inf
Rate(Hz) 3280 1593955379 inf
Rate(Hz) 3290 1593955379 inf
Rate(Hz) 3300 1593955379 inf
Rate(Hz) 3310 1593955379 inf
Rate(Hz) 3320 1593955379 inf
Rate(Hz) 3330 1593955379 inf
Rate(Hz) 3340 1593955379 inf
Rate(Hz) 3350 1593955379 inf
Rate(Hz) 3360 1593955379 inf
Rate(Hz) 3370 1593955379 inf
Rate(Hz) 3380 1593955379 inf
Rate(Hz) 3390 1593955379 inf
Rate(Hz) 3400 1593955380 10
Rate(Hz) 3410 1593955380 inf
Rate(Hz) 3420 1593955380 inf
Rate(Hz) 3430 1593955380 inf
Rate(Hz) 3440 1593955380 inf
Rate(Hz) 3450 1593955380 inf
Rate(Hz) 3460 1593955380 inf
Rate(Hz) 3470 1593955380 inf
Rate(Hz) 3480 1593955380 inf
Rate(Hz) 3490 1593955380 inf
Rate(Hz) 3500 1593955380 inf
Rate(Hz) 3510 1593955380 inf
Rate(Hz) 3520 1593955380 inf
Rate(Hz) 3530 1593955380 inf
Rate(Hz) 3540 1593955380 inf
Rate(Hz) 3550 1593955381 10
Rate(Hz) 3560 1593955381 inf
Rate(Hz) 3570 1593955381 inf
Rate(Hz) 3580 1593955381 inf
Rate(Hz) 3590 1593955381 inf
Rate(Hz) 3600 1593955381 inf
Rate(Hz) 3610 1593955381 inf
Rate(Hz) 3620 1593955381 inf
Rate(Hz) 3630 1593955381 inf
Rate(Hz) 3640 1593955381 inf
Rate(Hz) 3650 1593955381 inf
Rate(Hz) 3660 1593955382 10
Rate(Hz) 3670 1593955382 inf
Rate(Hz) 3680 1593955382 inf
Rate(Hz) 3690 1593955382 inf
Rate(Hz) 3700 1593955382 inf
Rate(Hz) 3710 1593955382 inf
Rate(Hz) 3720 1593955382 inf
Rate(Hz) 3730 1593955382 inf
Rate(Hz) 3740 1593955382 inf
Rate(Hz) 3750 1593955382 inf
Rate(Hz) 3760 1593955382 inf
Rate(Hz) 3770 1593955382 inf
Rate(Hz) 3780 1593955382 inf
Rate(Hz) 3790 1593955383 10
Rate(Hz) 3800 1593955383 inf
Rate(Hz) 3810 1593955383 inf
Rate(Hz) 3820 1593955383 inf
Rate(Hz) 3830 1593955383 inf
Rate(Hz) 3840 1593955383 inf
Rate(Hz) 3850 1593955383 inf
Rate(Hz) 3860 1593955383 inf
Rate(Hz) 3870 1593955383 inf
Rate(Hz) 3880 1593955383 inf
Rate(Hz) 3890 1593955383 inf
Rate(Hz) 3900 1593955383 inf
Rate(Hz) 3910 1593955383 inf
Rate(Hz) 3920 1593955383 inf
Rate(Hz) 3930 1593955383 inf
Rate(Hz) 3940 1593955384 10
Rate(Hz) 3950 1593955384 inf
Rate(Hz) 3960 1593955384 inf
Rate(Hz) 3970 1593955384 inf
Rate(Hz) 3980 1593955384 inf
Rate(Hz) 3990 1593955384 inf
Rate(Hz) 4000 1593955384 inf
Rate(Hz) 4010 1593955384 inf
Rate(Hz) 4020 1593955384 inf
Rate(Hz) 4030 1593955384 inf
Rate(Hz) 4040 1593955384 inf
Rate(Hz) 4050 1593955384 inf
Rate(Hz) 4060 1593955384 inf
Rate(Hz) 4070 1593955384 inf
Rate(Hz) 4080 1593955384 inf
Rate(Hz) 4090 1593955385 10
Rate(Hz) 4100 1593955385 inf
Rate(Hz) 4110 1593955385 inf
Rate(Hz) 4120 1593955385 inf
Rate(Hz) 4130 1593955385 inf
Rate(Hz) 4140 1593955385 inf
Rate(Hz) 4150 1593955385 inf
Rate(Hz) 4160 1593955385 inf
Rate(Hz) 4170 1593955385 inf
Rate(Hz) 4180 1593955385 inf
Rate(Hz) 4190 1593955385 inf
Rate(Hz) 4200 1593955385 inf
Rate(Hz) 4210 1593955385 inf
Rate(Hz) 4220 1593955385 inf
Rate(Hz) 4230 1593955385 inf
Rate(Hz) 4240 1593955386 10
Rate(Hz) 4250 1593955386 inf
Rate(Hz) 4260 1593955386 inf
Rate(Hz) 4270 1593955386 inf
Rate(Hz) 4280 1593955386 inf
Rate(Hz) 4290 1593955386 inf
Rate(Hz) 4300 1593955386 inf
Rate(Hz) 4310 1593955386 inf
Rate(Hz) 4320 1593955386 inf
Rate(Hz) 4330 1593955386 inf
Rate(Hz) 4340 1593955387 10
Rate(Hz) 4350 1593955387 inf
Rate(Hz) 4360 1593955387 inf
Rate(Hz) 4370 1593955387 inf
Rate(Hz) 4380 1593955387 inf
Rate(Hz) 4390 1593955388 10
Rate(Hz) 4400 1593955388 inf
Rate(Hz) 4410 1593955388 inf
Rate(Hz) 4420 1593955388 inf
Rate(Hz) 4430 1593955388 inf
Rate(Hz) 4440 1593955388 inf
Rate(Hz) 4450 1593955388 inf
Rate(Hz) 4460 1593955388 inf
Rate(Hz) 4470 1593955388 inf
Rate(Hz) 4480 1593955388 inf
Rate(Hz) 4490 1593955388 inf
Rate(Hz) 4500 1593955388 inf
Rate(Hz) 4510 1593955388 inf
Rate(Hz) 4520 1593955388 inf
Rate(Hz) 4530 1593955388 inf
Rate(Hz) 4540 1593955389 10
Rate(Hz) 4550 1593955389 inf
Rate(Hz) 4560 1593955389 inf
Rate(Hz) 4570 1593955389 inf
Rate(Hz) 4580 1593955389 inf
Rate(Hz) 4590 1593955389 inf
Rate(Hz) 4600 1593955389 inf
Rate(Hz) 4610 1593955389 inf
Rate(Hz) 4620 1593955389 inf
Rate(Hz) 4630 1593955389 inf
Rate(Hz) 4640 1593955389 inf
Rate(Hz) 4650 1593955389 inf
Rate(Hz) 4660 1593955389 inf
Rate(Hz) 4670 1593955389 inf
Rate(Hz) 4680 1593955389 inf
Rate(Hz) 4690 1593955390 10
Rate(Hz) 4700 1593955390 inf
Rate(Hz) 4710 1593955390 inf
Rate(Hz) 4720 1593955390 inf
Rate(Hz) 4730 1593955390 inf
Rate(Hz) 4740 1593955390 inf
Rate(Hz) 4750 1593955390 inf
Rate(Hz) 4760 1593955390 inf
Rate(Hz) 4770 1593955390 inf
Rate(Hz) 4780 1593955390 inf
Rate(Hz) 4790 1593955390 inf
Rate(Hz) 4800 1593955390 inf
Rate(Hz) 4810 1593955390 inf
Rate(Hz) 4820 1593955390 inf
Rate(Hz) 4830 1593955390 inf
